iter	Logloss
0	0.6792083661
1	0.6637766938
2	0.648624336
3	0.6375786388
4	0.6239983746
5	0.610863347
6	0.5988178659
7	0.5895457625
8	0.5755374608
9	0.5637936881
10	0.5537985153
11	0.5443342354
12	0.5330643814
13	0.5208156637
14	0.5116261745
15	0.4987857746
16	0.4876206948
17	0.4765154711
18	0.4649607897
19	0.4564549428
20	0.4472343385
21	0.4396050946
22	0.4324651878
23	0.4225980119
24	0.4156300234
25	0.4080122194
26	0.3993430446
27	0.3924074879
28	0.3839092674
29	0.3791142988
30	0.3714963601
31	0.364953803
32	0.3582828342
33	0.3524059912
34	0.3454435529
35	0.3389822656
36	0.3335118961
37	0.3283595288
38	0.3241148668
39	0.318757731
40	0.3124358267
41	0.3063140819
42	0.3024418038
43	0.2979758506
44	0.2933052925
45	0.288747005
46	0.2847097098
47	0.2804314892
48	0.2765536086
49	0.2724227608
50	0.2689535164
51	0.2643158127
52	0.2601593003
53	0.2565116444
54	0.2520463818
55	0.2490831337
56	0.2462321832
57	0.2426870095
58	0.2397131028
59	0.2359066853
60	0.2326733015
61	0.229374927
62	0.2259874257
63	0.222428558
64	0.2199239207
65	0.2177572059
66	0.215023579
67	0.2117544535
68	0.2094289598
69	0.206951684
70	0.2043373805
71	0.2016028344
72	0.1991759066
73	0.1964881172
74	0.1940983963
75	0.19172644
76	0.1899484504
77	0.1876121088
78	0.1851438677
79	0.1831793947
80	0.1814397924
81	0.1794470485
82	0.1772399848
83	0.1747863388
84	0.1729295399
85	0.1714240249
86	0.1698954548
87	0.1687112568
88	0.1674855427
89	0.1656782992
90	0.1642193898
91	0.1626664648
92	0.1611659748
93	0.1597064365
94	0.1581086428
95	0.1567866785
96	0.1554490041
97	0.1540596396
98	0.1525046139
99	0.1508659776
