iter	Passed	Remaining
0	147	14585
1	150	7395
2	153	4961
3	155	3740
4	158	3005
5	160	2516
6	162	2161
7	164	1892
8	166	1681
9	168	1513
10	169	1375
11	171	1259
12	173	1164
13	176	1082
14	178	1009
15	179	944
16	181	887
17	183	836
18	185	790
19	187	749
20	189	714
21	192	681
22	194	652
23	197	624
24	199	597
25	201	572
26	203	549
27	205	527
28	207	507
29	209	489
30	211	471
31	213	454
32	215	438
33	217	423
34	220	408
35	222	395
36	224	382
37	226	369
38	228	356
39	230	345
40	232	334
41	234	324
42	236	313
43	238	303
44	240	293
45	242	284
46	244	275
47	246	266
48	248	258
49	250	250
50	252	242
51	254	235
52	256	227
53	259	220
54	261	214
55	264	207
56	267	201
57	270	195
58	272	189
59	274	183
60	276	177
61	278	170
62	280	164
63	282	159
64	284	153
65	286	147
66	288	141
67	289	136
68	291	130
69	293	125
70	295	120
71	297	115
72	299	110
73	300	105
74	302	100
75	304	96
76	306	91
77	308	86
78	310	82
79	312	78
80	314	73
81	316	69
82	318	65
83	320	60
84	321	56
85	323	52
86	325	48
87	328	44
88	330	40
89	332	36
90	334	33
91	337	29
92	338	25
93	340	21
94	343	18
95	346	14
96	348	10
97	351	7
98	353	3
99	355	0
